source_file,move_number,position_id,match_id,actor_color,action,die1,die2,score_o,score_x,match_length,crawford,post_crawford,cube_value,cube_owner,O_bar,X_bar,O_off,X_off,O_points,X_points,expected_xgid
pair_04/match_A/4ply_review/gnu_vs_sage_match_4a_game_4.txt,65,++4AAEA7dwRgAA,QQnrAEAACAAE,X,roll,6,2,4,1,7,0,0,2,O,0,0,2,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 2,1 2 3 0 3 3 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0,XGID=-ABC-CC--A---------B-cceb-:1:-1:1:62:1:4:0:7:10
pair_03/match_B/4ply_review/gnu_vs_sage_match_3b_game_3.txt,45,++5ABAC7tyEAQA,MIHkAEAAEAAE,O,roll,1,1,4,2,7,0,0,1,centered,1,0,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 4 3 2,2 5 3 3 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0,XGID=aBECC-----A--A--a---bbdcb-:0:0:-1:11:2:4:0:7:10
pair_06/match_B/4ply_review/gnu_vs_sage_match_6b_game_1.txt,55,++wMAQD9XgAADg,AQHmAAAAAAAE,O,roll,4,1,0,0,7,0,0,2,O,0,0,0,0,0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 6 1,2 5 0 2 3 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,XGID=-BEcBC-B---A---------adfa-:1:-1:-1:41:0:0:0:7:10
pair_06/match_B/4ply_review/gnu_vs_sage_match_6b_game_1.txt,56,+14AAA777AwBAA,QQnnAAAAAAAE,X,roll,6,1,0,0,7,0,0,2,O,0,0,0,0,0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 5 2,2 5 0 2 3 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,XGID=-BEcBC-B---A---------adeb-:1:-1:1:61:0:0:0:7:10
pair_08/match_B/4ply_review/gnu_vs_sage_match_8b_game_4.txt,29,+2YBAMDafQAAAA,sIHqAGAAEAAE,O,roll,5,2,6,2,7,1,0,1,centered,0,0,2,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 2 1 2 0,2 5 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,XGID=-BEB-BA------------ecbab--:0:0:-1:52:2:6:1:7:10
pair_06/match_B/4ply_review/gnu_vs_sage_match_6b_game_2.txt,47,+2sAAOD1BAAAAA,EgHvAAAAEAAE,O,roll,6,3,0,2,7,0,0,4,X,0,0,5,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 1 4,2 7 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,XGID=-BGAB---------------a-dad-:2:1:-1:63:2:0:0:7:10
pair_06/match_B/4ply_review/gnu_vs_sage_match_6b_game_2.txt,31,+2wDBgC7XQUwAA,AQHrAAAAEAAE,O,roll,6,2,0,2,7,0,0,2,O,0,0,0,0,0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 1 3 2 3 2,2 5 0 2 2 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0,XGID=-BE-BBB--b---B----aaacbcb-:1:-1:-1:62:2:0:0:7:10
pair_10/match_A/4ply_review/gnu_vs_sage_match_10a_game_3.txt,49,+2wPAAD3dgAARg,AQHyACAAAAAE,O,roll,4,4,2,0,7,0,0,2,O,1,0,0,0,0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 4 3,2 5 0 2 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,XGID=aBEbBBD--------------cbdc-:1:-1:-1:44:0:2:0:7:10
pair_06/match_B/4ply_review/gnu_vs_sage_match_6b_game_2.txt,43,+7UDEADv3gUAAA,EgHpAAAAEAAE,O,roll,2,2,0,2,7,0,0,4,X,0,0,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 3 4,2 6 1 2 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,XGID=-BFABC---------A----acdcd-:2:1:-1:22:2:0:0:7:10
pair_06/match_B/4ply_review/gnu_vs_sage_match_6b_game_2.txt,45,+7UjAACvtwAAAA,EgHpAAAAEAAE,O,roll,2,2,0,2,7,0,0,4,X,0,0,3,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 1 4,2 6 1 2 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,XGID=-BFABC--A-----------abdad-:2:1:-1:22:2:0:0:7:10
